gsis_id,display_name,common_first_name,first_name,last_name,short_name,football_name,suffix,esb_id,nfl_id,pfr_id,pff_id,otc_id,espn_id,smart_id,birth_date,position_group,position,ngs_position_group,ngs_position,height,weight,headshot,college_name,college_conference,jersey_number,rookie_season,last_season,latest_team,status,ngs_status,ngs_status_short_description,years_of_experience,pff_position,pff_status,draft_year,draft_round,draft_pick,draft_team
CRA709030,Mike Crawford,Mike,Michael,Crawford,,,,CRA709030,,CrawMi20,,,,32004352-4170-9030-2669-32fcf9d2e692,1964-01-03,RB,RB,,,70.0,215.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uaeguijsnqrwpjedhrzq",Arizona State; Moorpark College,,0,1987,1987,CLE,ACT,,,1,,,1986.0,12.0,324.0,TB
00-0008940,James Joseph,James,James,Joseph,,,,JOS216673,,JoseJa00,,,6804,32004a4f-5321-6673-d16b-5ad4a3fb0d21,1967-10-28,RB,RB,,,72.0,222.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/d0g2nr2n3mq1qzetn3pk",Auburn,,0,1991,1995,CIN,ACT,,,5,,,1991.0,7.0,187.0,PHI
00-0032542,David Dean,David,David,Dean,D.Dean,David,,DEA169106,43662,DeanDa01,11106,5254,2577828,32004445-4116-9106-1044-8bf5a13bae1b,1993-02-16,DL,DT,DL,INTERIOR_LINE,73.0,295.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/r9rnyjurlt6q3gh8dbmd",Virginia,,71,2016,2016,CIN,DEV,CUT,,0,,,,,,
KRI484505,John Krimm,John,John,Krimm,,,,KRI484505,,KrimJo20,,,,32004b52-4948-4505-73c2-f0d0107570e8,1960-05-30,DB,DB,,,74.0,190.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vdpeoa3xqkujxjty4teh",Notre Dame,,0,1982,1982,NO,ACT,,,0,,,1982.0,3.0,76.0,NO
HUN384902,Bob Hunt,Bob,Robert,Hunt,,,,HUN384902,,HuntBo20,,,,32004855-4e38-4902-6aa8-840433c0aff8,1951-09-03,RB,RB,,,73.0,210.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pnddguitp60rfvh0tsct",Heidelberg College,,0,1974,1974,CLE,ACT,,,0,,,1974.0,14.0,352.0,CLE
00-0020406,Mike Gandy,Mike,Michael,Gandy,,,,GAN127935,26290,GandMi20,834,,2616,32004741-4e12-7935-77e4-3037d7660c09,1979-01-03,OL,OT,,,76.0,308.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ichnba4lfh9a2rmwkchz",Notre Dame,,69,2001,2009,ARI,RES,,,9,,,2001.0,3.0,68.0,CHI
00-0010668,Keenan McCardell,Keenan,Keenan,McCardell,,,,MCC170252,,McCaKe00,,,276,32004d43-4317-0252-46dc-f2efbff6f8f5,1970-01-06,WR,WR,,,73.0,191.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kop0ezafhz9vlgvey1wv",UNLV,,80,1991,2007,WAS,ACT,,,16,,,1991.0,12.0,326.0,WAS
MCD079100,LeCharls McDaniel,LeCharls,LeCharls,McDaniel,,,,MCD079100,,McDaLe20,,,,32004d43-4407-9100-8f86-002a304102fa,1958-10-15,DB,DB,,,69.0,183.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/iqp0k7jsjfp4swmzle0n",Cal Poly (San Luis Obispo),,0,1981,1984,NYG,ACT,,,4,,,,,,
00-0003557,Scott Covington,Scott,Scott,Covington,,,,COV562272,24757,CoviSc00,,,3998320,3200434f-5656-2272-ff89-b334ef221ddc,1976-01-17,QB,QB,,,75.0,217.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mfokusuxho5iiwokxp26",Miami,,4,1999,2003,LA,ACT,,,4,,,1999.0,7.0,245.0,CIN
PUK415291,Craig Puki,Craig,Craig,Puki,,,,PUK415291,,PukiCr20,,,,32005055-4b41-5291-8198-9d11f47192b7,1957-01-18,LB,LB,,,73.0,231.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yybfypredicje3y98dxf",Tennessee,,0,1980,1982,LA,ACT,,,3,,,1980.0,3.0,77.0,SF
PET738280,Duane Pettitt,Duane,Duane,Pettitt,,,,PET738280,,PettDu20,,,,32005045-5473-8280-2bc9-d8da525353b2,1964-11-02,DL,DE,,,76.0,265.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/v4rzfsotk9rsegxsgv4e",San Diego State,,0,1987,1987,LAC,ACT,,,0,,,,,,
00-0017109,Wesley Walls,Wesley,Charles,Walls,,,,WAL531069,,WallWe00,,,57,32005741-4c53-1069-cbc6-6743fe9b4bc9,1966-02-26,TE,TE,,,77.0,240.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vl5gpjoslpkcomu9ulvw",Mississippi,,82,1989,2003,GB,ACT,,,15,,,1989.0,2.0,56.0,SF
00-0019997,Antonio Chatman,Antonio,Antonio,Chatman,,,,CHA724223,,ChatAn00,,,4812,32004348-4172-4223-81bf-97d543284b99,1979-02-12,WR,WR,,,68.0,185.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/f4vrbhakrpiyw97mzmcd",Cincinnati; El Camino,,83,2003,2009,CIN,CUT,,,7,,,,,,
00-0038645,Spencer Anderson,Spencer,Spencer,Anderson,S.Anderson,Spencer,,AND490948,56116,AndeSp00,81719,11075,4372056,3200414e-4449-0948-ac5c-e3c2714df76e,2000-06-07,OL,G,TE,TE,77.0,305.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/c7wzlwet93jblhklcgax",Maryland,Big Ten Conference,74,2023,2025,PIT,ACT,ACT,Active,3,G,A,2023.0,7.0,251.0,PIT
00-0026764,Dobson Collins,Dobson,Dobson,Collins,D.Collins,Dobson,,COL532275,34988,,5374,5472,12913,3200434f-4c53-2275-f06a-a63c1c33dd89,1987-07-12,WR,WR,WR,WR,74.0,189.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gscht0uwgofh0jf89vb3",Gardner-Webb,Big South Conference,0,2009,2016,BAL,CUT,CUT,Active,1,,,,,,
00-0039313,Swayze Bozeman,Swayze,Swayze,Bozeman,S.Bozeman,Swayze,,BOZ237308,57467,BozeSw00,98634,12196,4570546,3200424f-5a23-7308-d688-ce1b0346a07e,1998-11-02,LB,LB,LB,MLB,73.0,224.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/x5fvun7baplarpt8deoq",Southern Mississippi; Copiah-Lincoln Junior College,Sun Belt Conference,,2024,2025,NYG,ACT,ACT,Active,1,LB,A,,,,
00-0017996,Abu Wilson,Abu,Abu,Wilson,,,,WIL647815,,,,,,32005749-4c64-7815-dbfa-c4b1609deb4b,1973-01-02,RB,RB,,,72.0,214.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pzgap8whe43hs3pkiw4y",Utah,,30,1997,1998,IND,CUT,,,2,,,,,,
00-0007078,Steve Harvey,Steve,Steve,Harvey,,,,HAR824024,,,,,,32004841-5282-4024-aaf8-d791b4e03bbb,1971-04-21,LB,LB,,,75.0,230.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mgbs5zkp0twgbdh9omyl",Kansas,,0,1995,1995,BUF,RES,,,0,,,,,,
00-0000282,Morten Andersen,Morten,Morten,Andersen,,,,AND020258,,andermor01,,,11,3200414e-4402-0258-af5e-f904d4733d82,1960-08-19,SPEC,K,,,74.0,225.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nk87h6cjuij14iofd5ix",Michigan State,,5,1982,2007,ATL,ACT,,,25,,,1982.0,4.0,86.0,NO
HAL220350,Charlie Hall,Charlie,Charles,Hall,,,,HAL220350,,,,,,32004841-4c22-0350-a857-a4febdc22121,1948-03-31,DB,S,,,73.0,195.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/skib6ss6ut3dnfkainha",Pittsburgh,,0,1974,1976,GB,ACT,,,6,,,,,,
00-0020015,Mike Cook,Mike,Michael,Cook,,,,COO217106,,,,,,3200434f-4f21-7106-14ab-2aca5aa83543,1978-06-23,OL,OT,,,76.0,333.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/h5wcndn430lgrbswukqu",Boston College,,62,2001,2001,ARI,ACT,,,0,,,,,,
00-0020071,Kerwin Cook,Kerwin,Kerwin,Cook,,,,COO183492,,,,,,3200434f-4f18-3492-8987-b2e75ad25141,1979-12-21,WR,WR,,,73.0,185.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sae5p9vxnabilu6cunur",Tulane,,19,2001,2003,NO,RES,,,1,,,,,,
CAP715551,Glenn Capriola,Glenn,Glenn,Capriola,,,,CAP715551,,,,,,32004341-5071-5551-9090-9726657794c2,1954-09-17,RB,RB,,,71.0,219.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/z0iblr3lghprwibymx7s",Boston College,,0,1977,1977,DET,ACT,,,0,,,,,,
00-0036552,Azeez Ojulari,Azeez,Azeez,Ojulari,A.Ojulari,Azeez,,OJU415291,53479,OjulAz00,81959,9514,4379409,32004f4a-5541-5291-d003-ed4598630587,2000-06-16,LB,LB,DL,EDGE,75.0,240.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gfq1w3tlod06bgxdnfdc",Georgia,Southeastern Conference,13,2021,2025,PHI,ACT,ACT,Active,5,ED,A,2021.0,2.0,50.0,NYG
00-0030789,Antonio Andrews,Antonio,Antonio,Andrews,A.Andrews,Antonio,,AND650999,41627,AndrAn00,9014,3600,17105,3200414e-4465-0999-f415-78a6433db8e2,1992-08-17,RB,RB,RB,RB,70.0,225.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wwy4g14dflaelkretfzv",Western Kentucky,Sun Belt Conference,26,2014,2016,TEN,ACT,ACT,Active,3,HB,,,,,
00-0004866,'Omar Ellison,'Omar,'Omar,Ellison,,,,ELL711319,,ElliOm20,,,7924,3200454c-4c71-1319-728e-d49d3d236f8f,1971-10-08,WR,WR,,,73.0,200.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rb4xoob5m1wcqklj9luu",Florida State,,84,1995,1996,LAC,ACT,,,2,,,1995.0,5.0,162.0,LAC
00-0024273,Richard Marshall,Richard,Richard,Marshall,,,,MAR452561,30872,MarsRi20,3003,714,9644,32004d41-5245-2561-4fd1-b48e7b2647e0,1984-12-12,DB,CB,,,71.0,198.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yesdbetwnshyytkudszk",Fresno State,,31,2006,2014,LAC,CUT,,,9,CB,,2006.0,2.0,58.0,CAR
GRI358644,Wade Griffin,Wade,Wade,Griffin,,,,GRI358644,,GrifWa20,,,,32004752-4935-8644-632e-9067dfbd41c6,1954-08-07,OL,OT,,,77.0,260.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nyfwec0vgh8nqeg8hxpz",Mississippi,,0,1977,1981,BAL,ACT,,,5,,,,,,
MOO657495,Bob Moore,Bob,Robert,Moore,,,,MOO657495,,MoorBo01,,,,32004d4f-4f65-7495-953e-1eb1e7513bd7,1949-02-12,WR,WR,,,75.0,220.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ggsvz6fhprqxuesogjuh",Stanford,,0,1974,1978,DEN,ACT,,,8,,,,,,
00-0032859,Destiny Vaeao,Destiny,Destiny,Vaeao,D.Vaeao,Destiny,,VAE059326,43926,VaeaDe01,11083,5187,2978355,32005641-4505-9326-c944-22c54d809f53,1994-01-15,DL,DT,,,76.0,300.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kzqqke2kptj6ttrcqgen",Washington State,,75,2016,2019,CAR,CUT,CUT,,4,DI,A,,,,
00-0037258,Dameon Pierce,Dameon,Dameon,Pierce,D.Pierce,Dameon,,PIE245478,54572,PierDa01,83659,10152,4360238,32005049-4524-5478-115c-8ae11dbeefa6,2000-02-19,RB,RB,RB,RB,70.0,215.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lifrupicniyrosy1vj9c",Florida,Southeastern Conference,31,2022,2025,HOU,ACT,ACT,Active,4,HB,A,2022.0,4.0,107.0,HOU
00-0035156,Jack Fox,Jack,John,Fox,J.Fox,Jack,,FOX171605,48258,FoxxJa01,34735,8227,3916370,3200464f-5817-1605-5ab7-9f6c29a06ec7,1996-09-01,SPEC,P,,,74.0,218.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oxbywegffnm7lrwl2map",Rice,Conference USA,3,2019,2025,DET,ACT,ACT,Active,6,P,A,,,,
KIM138430,Bobby Kimball,Bobby,Robert,Kimball,,,,KIM138430,,KimbBo20,,,,32004b49-4d13-8430-f8ba-52fffcdd45d0,1957-03-12,WR,WR,,,73.0,190.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xyhq9dmjbi02lvvvfprp",Oklahoma; Ventura,,0,1979,1980,GB,ACT,,,2,,,,,,
GAR752208,Keith Gary,Keith,Keith,Gary,,,,GAR752208,,GaryKe20,,,,32004741-5275-2208-c815-5798ce32722f,1959-09-14,DL,DE,,,75.0,263.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xuxl1wooleeurd7rrffk",Oklahoma; Ferrum College,,0,1983,1988,PIT,ACT,,,6,,,1981.0,1.0,17.0,PIT
00-0040017,Ajani Cornelius,Ajani,Ajani,Cornelius,A.Cornelius,Ajani,,COR457885,58409,CornAj00,142968,12564,4696203,3200434f-5245-7885-59ed-fb1e2c63e751,2002-05-21,OL,OT,OL,T,76.0,310.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fdwnpupu32uzrnoxl34d",Oregon; Rhode Island,Big Ten Conference,69,2025,2025,DAL,ACT,ACT,Active,0,,,2025.0,6.0,204.0,DAL
00-0039603,British Brooks,British,British,Brooks,B.Brooks,British,,BRO118766,57731,BrooBr01,77714,12269,4373273,32004252-4f11-8766-fb4c-cc09f079d780,1999-11-18,RB,RB,RB,FB,71.0,225.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wpjous6xnyvfbuoupdqd",North Carolina,Atlantic Coast Conference,44,2024,2025,HOU,ACT,ACT,Active,2,HB,A,,,,
SCI415290,Joe Scibelli,Joe,Joseph,Scibelli,,,,SCI415290,,ScibJo00,,,,32005343-4941-5290-287e-a658f9e32686,1939-04-19,OL,G,,,72.0,255.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/csvi3yoc8b0byuvmz6bq",Notre Dame; American International College,,0,1974,1975,LA,ACT,,,15,,,,,,
00-0029471,Shea Allard,Shea,Lawrence,Allard,,,,ALL028972,,,,,15601,3200414c-4c02-8972-2163-451de9ce38e2,1989-08-27,OL,OT,,,77.0,305.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qmtdcfwmnd6ifuklbcol",Delaware,,0,2012,2012,GB,CUT,,,0,,,,,,
00-0025546,C.J. Gaddis,C.J.,C.J.,Gaddis,,,,GAD531222,32352,,,,,32004741-4453-1222-66e3-603785efb241,1985-08-12,DB,SAF,,,72.0,210.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oht5figyfomyvkyx4meq",Clemson,,0,2007,2007,ATL,DEV,,,0,,,,,,
HAY711900,Reggie Haynes,Reggie,Reginold,Haynes,,,,HAY711900,,HaynRe00,,,,32004841-5971-1900-4089-d1f9fec8aef9,1954-09-15,TE,TE,,,74.0,229.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/h6w7jtfovwh9hg2tg6of",UNLV; Los Angeles City College,,0,1978,1978,WAS,ACT,,,1,,,1977.0,7.0,189.0,WAS
00-0033930,Cameron Sutton,Cameron,Cameron,Sutton,C.Sutton,Cameron,,SUT313402,44906,SuttCa00,11850,5680,3044724,32005355-5431-3402-67cd-92ad57aa3382,1995-02-27,DB,CB,,,71.0,188.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rykly25j9mir0ygcnrs6",Tennessee,Southeastern Conference,20,2017,2024,PIT,ACT,CUT,R/UFA,8,CB,A,2017.0,3.0,94.0,PIT
BEL325700,Jerry Bell,Jerry,Gerald,Bell,,,,BEL325700,,BellJe00,,,,32004245-4c32-5700-2f2d-683d5069e46f,1959-03-07,TE,TE,,,77.0,230.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kclerudd80h0gwovsdkh",Arizona State,,82,1982,1986,TB,ACT,,,5,,,1982.0,3.0,74.0,TB
00-0008143,Johnnie Jackson,Johnnie,Johnnie,Jackson,,,,JAC270840,,JackJo23,,,,32004a41-4327-0840-bdb9-ba337c46c9b2,1967-01-11,DB,DB,,,73.0,204.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hh7zdpvqquwf69hka3ek",Houston,,0,1989,1992,GB,CUT,,,4,,,1989.0,5.0,122.0,SF
00-0036317,Arlington Hambright,Arlington,Arlington,Hambright,A.Hambright,Arlington,,HAM124009,52634,HambAr00,60003,8966,4241422,32004841-4d12-4009-d04e-355d55b6dd7e,1996-01-30,OL,G,OL,G,77.0,300.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yifchvo3ij5wbrquegqx",Colorado,Pacific Twelve Conference,,2020,2024,TEN,ACT,CUT,Active,3,T,P,2020.0,7.0,226.0,CHI
KAF553722,Mark Kafentzis,Mark,Mark,Kafentzis,,,,KAF553722,,KafeMa20,,,,32004b41-4655-3722-94b0-ef7f52537434,1958-06-30,DB,S,,,70.0,190.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/l70eedemeqvawfwsgja7",Hawaii; Columbia Basin College,,0,1982,1984,IND,ACT,,,3,,,1982.0,8.0,199.0,CLE
00-0038613,Jerrick Reed II,Jerrick,Jerrick,Reed,J.Reed,Jerrick,,REE475048,56063,ReedJe00,101322,11022,4570084,32005245-4547-5048-80ea-d2c00db95075,2000-08-07,DB,SAF,DB,HIGH_SAFETY,69.0,196.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kseplyvmp1o8xdojoe5t",New Mexico; Northwest Mississippi CC,Mountain West Conference,32,2023,2025,SEA,DEV,DEV,PS; Exc,3,S,P,2023.0,6.0,198.0,SEA
00-0036770,Braylon Jones,Braylon,Braylon,Jones,B.Jones,Braylon,,JON104643,53981,JoneBr07,26635,,4039299,32004a4f-4e10-4643-c445-865941a9beff,1998-02-10,OL,G,OL,G,75.0,301.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q1kxsbgxnf1hnu0foq1h",Houston,American Athletic Conference,62,2021,2021,DAL,DEV,CUT,Waivers/No Rec.,0,,,,,,
00-0011092,Bob Meeks,Bob,Robert,Meeks,,,,MEE565720,,MeekBo20,,,7295,32004d45-4556-5720-51d3-44b81fbfe4ac,1969-05-28,OL,C,,,74.0,279.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/h79ezoxdez4srkwrlnt0",Auburn,,0,1992,1994,DEN,RES,,,3,,,1992.0,10.0,278.0,DEN
00-0007732,Wes Hopkins,Wes,Wesley,Hopkins,,,,HOP484505,,HopkWe00,,,6836,3200484f-5048-4505-14d8-746afda1eb39,1961-09-26,DB,S,,,73.0,205.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eodot5ctp5ztbymwtojb",SMU,,0,1983,1993,PHI,ACT,,,11,,,1983.0,2.0,35.0,PHI
00-0027637,Chris Johnson,Chris,Chris,Johnson,,,,JOH127192,,,,,,32004a4f-4812-7192-45bd-3437621df3c9,1986-12-10,LB,LB,,,74.0,230.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wgldzdbnbvlcmhcz8mln",South Dakota State,,0,2010,2010,CHI,DEV,,,0,,,,,,
00-0019509,Michael Green,Michael,Michael,Green,,,,GRE319791,25567,GreeMi20,716,,2385,32004752-4531-9791-4242-86ad8f3b48a2,1976-12-06,DB,DB,,,72.0,200.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mhw6s9dpkea52asczlnv",Northwestern State (LA),,25,2000,2008,WAS,ACT,,,9,,,2000.0,7.0,254.0,CHI
SEI679563,Larry Seiple,Larry,Lawrence,Seiple,,,,SEI679563,,SeipLa20,,,,32005345-4967-9563-87ea-0284b18e00ec,1945-02-14,TE,TE,,,72.0,214.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ibr5a6yc1jcvu8e5l3pf",Kentucky,,0,1974,1977,MIA,ACT,,,11,,,,,,
00-0027653,T.J. Ward,T.J.,Terrell,Ward,T.Ward,T.J.,Williams,WAR274773,35477,WardT.99,5563,305,13304,32005741-5227-4773-2059-c71a68b46c3b,1986-12-12,DB,DB,,,70.0,200.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/r4vww4ic2ptpvqvo8fz4",Oregon,,0,2010,2020,ARI,CUT,CUT,,9,S,,2010.0,2.0,38.0,CLE
MIT695888,Russell Mitchell,Russell,Russell,Mitchell,,,,MIT695888,,MitcRu20,,,,32004d49-5469-5888-1ee6-671852507509,1960-12-28,OL,C,,,77.0,288.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dj4agf8chsu5lqpohpq3",Mississippi,,0,1987,1987,NYG,ACT,,,1,,,,,,
00-0028194,Cory Brandon,Cory,Cory,Brandon,,,,BRA555956,,,6408,114,14368,32004252-4155-5956-e71b-f1b3cdd2fb5a,1987-10-05,OL,OT,,,79.0,324.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qmxs9zwgogc8ayhsjpxo",Oklahoma,,76,2012,2012,CHI,ACT,,,1,,,,,,
LON269376,Doug Long,Doug,Douglas,Long,,,,LON269376,,LongDo20,,,,32004c4f-4e26-9376-b882-da239ddde13b,1955-05-24,DB,SAF,,,72.0,189.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/iljymwrfyjpgnu7dp32s",Whitworth College,,0,1977,1978,SEA,ACT,,,1,,,,,,
